permutation,ap_increment,auc_increment,log_loss_improvement,null_plus_ap,null_plus_auc,null_plus_log_loss
1,-0.006530120335669465,0.0001296940603580099,-0.0002843102597618885,0.5437097151322218,0.8985515767339232,0.1434461027459779
2,0.00019521232545638423,-0.00012969406035789888,-7.624178295226325e-05,0.5504350477933476,0.8982921886132073,0.14323803426916829
3,-0.000988414898746015,-0.00020923975071074352,-0.00015209742962546402,0.5492514205691452,0.8982126429228544,0.14331388991584149
4,-0.0030468601699398246,-0.000499754445912326,-0.00039110503181533085,0.5471929752979514,0.8979221282276528,0.14355289751803135
5,-0.005593808162628,-0.0005135884790172796,-0.0005898901367767106,0.5446460273052632,0.8979082941945479,0.14375168262299273
6,-0.0008479314261237159,0.00030607798244464135,7.178119665460225e-05,0.5493919040417675,0.8987279606560098,0.14309001128956142
7,-0.009377038727400255,-0.007174675418998189,-0.004621686426429489,0.540862796740491,0.891247207254567,0.1477834789126455
8,-0.00752230394066411,-0.00019194720932957932,-0.000601636347411949,0.5427175315272271,0.8982299354642356,0.14376342883362797
9,-0.002404027750038451,-0.0026163615109531246,-0.0023124706440941223,0.5478358077178528,0.895805521162612,0.14547426313031014
10,-0.002696098149401971,-0.0012917528411644508,-0.0012327166396247646,0.5475437373184893,0.8971301298324007,0.1443945091258408
11,0.0009770001007111118,-0.0004271257721119026,-9.233697911015248e-05,0.5512168355686023,0.8979947569014533,0.14325412946532617
12,0.00034914545914044304,-0.0005689246114365387,-0.00030302616488686596,0.5505889809270317,0.8978529580621286,0.1434648186511029
13,-0.02650870323339438,-0.0007141819590373855,-0.0026220093531610367,0.5237311322344969,0.8977077007145278,0.14578380183937706
14,-0.004051269914471134,-0.0012640847749548767,-0.0007410247560554473,0.5461885655534201,0.8971577978986103,0.14390281724227147
15,-0.0002331712960892407,2.248030379536914e-05,-0.00016886564269863458,0.550006664171802,0.8984443629773605,0.14333065812891466
16,-0.0011422987184458444,0.0005170469872933792,0.0001399052851597249,0.5490975367494454,0.8989389296608585,0.1430218872010563
17,-0.0016173531432192023,1.5563287243058888e-05,4.745099274144904e-06,0.548622482324672,0.8984374459608082,0.14315704738694188
18,-0.004568026489387367,2.5938812071579775e-05,-0.0004487816115114618,0.5456718089785039,0.8984478214856367,0.14361057409772748
19,-0.028163538522296916,-0.0006346362686847629,-0.002284549294315902,0.5220762969455943,0.8977872464048804,0.14544634178053192
20,-0.016507829861007295,-0.0007764351080091769,-0.0013541682034234337,0.5337320056068839,0.897645447565556,0.14451596068963946
21,-0.0041759762789757016,0.0001988642258821116,-5.930696099221144e-07,0.5460638591889155,0.8986207468994473,0.14316238555582594
22,-0.004197056550786615,0.0006692213514466472,-1.63965459321902e-05,0.5460427789171046,0.8990911040250118,0.1431781890321482
23,-0.008653014545716542,-0.0008456052735332786,-0.0008890539320886848,0.5415868209221747,0.8975762774000319,0.1440508464183047
24,-0.0005324027750243099,-0.00017465466794863715,-0.0001419292808945427,0.5497074326928669,0.8982472280056165,0.14330372176711056
25,-0.024141026107800223,-0.004432078355963487,-0.003527547595452124,0.526098809360091,0.8939898043176017,0.14668934008166815
26,-0.005487202629362753,0.0005896756610938025,9.398258991261121e-05,0.5447526328385285,0.899011558334659,0.1430678098963034
27,-0.0013755959315578936,-0.0030728846034128177,-0.0011449996727222744,0.5488642395363333,0.8953489980701523,0.1443067921589383
28,-0.006743277553528548,-0.0006623043348941149,-0.0005792502261677823,0.5434965579143627,0.897759578338671,0.1437410427123838
29,-0.0016527693065562232,-0.0010219891956202432,-0.00037341807714083575,0.548587066161335,0.8973998934779449,0.14353521056335686
30,-0.012137731077217828,-0.0009770285880295049,-0.000993844488804907,0.5381021043906734,0.8974448540855356,0.14415563697502093
31,0.001631113482719826,0.00031645350727316224,0.000389295540319301,0.5518709489506111,0.8987383361808383,0.14277249694589672
32,-0.0075277723162557875,-0.0027685358751062816,-0.0013853154921147637,0.5427120631516354,0.8956533467984589,0.14454710797833079
33,-0.000788202645366054,-0.00025074185002516014,-0.00011970081989232106,0.5494516328225252,0.89817114082354,0.14328149330610834
34,-0.011572479392183976,-0.001813987590872368,-0.0011831635215590885,0.5386673560757073,0.8966078950826928,0.1443449560077751
35,0.008646653050151332,0.0020387906288260593,0.001120468442732947,0.5588864885180426,0.9004606733023912,0.14204132404348307
36,-0.0017696398463558083,-0.0009009414059527598,-0.00040323215771040366,0.5484701956215354,0.8975209412676124,0.14356502464392643
37,-0.0040625263531701705,-0.001689481292928674,-0.0009000751164721377,0.5461773091147211,0.8967324013806365,0.14406186760268816
38,-0.0004509684019428084,-0.00039945770590232854,-0.00021826497964427816,0.5497888670659484,0.8980224249676628,0.1433800574658603
39,-0.0010447077983467556,0.0006692213514466472,0.0004406165198156675,0.5491951276695445,0.8990911040250118,0.14272117596640035
40,0.010686092446526185,0.0022393841088461652,0.0016058567586663686,0.5609259279144174,0.9006612667824113,0.14155593572754965
41,0.0017077425029113913,-4.323135345252194e-05,0.00011021699260396756,0.5519475779708026,0.8983786513201126,0.14305157549361205
42,-0.0010655031432380557,-0.0003787066562450647,-0.00018360619544674495,0.5491743323246532,0.8980431760173201,0.14334539868166277
43,-0.0039170389819347395,-0.00032337052382569453,-0.00039319822954428374,0.5463227964859565,0.8980985121497395,0.1435549907157603
44,-0.0028194573761343156,0.0002645758831301137,1.2380624217017688e-05,0.5474203780917569,0.8986864585566953,0.143149411861999
45,-0.011412062225372388,-0.0008248542238761258,-0.0009728479533804291,0.5388277732425188,0.897597028449689,0.14413464043959645
46,-0.0019675532309078037,0.00012623555208179926,-0.00010659241808483322,0.5482722822369834,0.898548118225647,0.14326838490430086
47,-0.012593716493171647,-0.007897503648726212,-0.008391144634674691,0.5376461189747196,0.8905243790248389,0.1515529371208907
48,-0.005885697105789345,-0.0002680343914062133,-0.000554717211680239,0.5443541383621019,0.8981538482821589,0.14371650969789626
49,-0.0014827478984389408,0.0010289062121726644,0.00010954416471037343,0.5487570875694523,0.8994507888857378,0.14305224832150565
50,-0.0034563007357970577,-0.0006242607438560199,-0.00042702000976954646,0.5467835347320942,0.8977976219297091,0.14358881249598557
51,0.005450963008333476,0.0011361199687350831,0.0008720981452334797,0.5556907984762247,0.8995580026423002,0.14228969434098254
52,0.000919526111155311,-0.00010202599414821378,0.00012118685269268958,0.5511593615790465,0.8983198566794169,0.14304060563352333
53,-0.0094976192108438,-0.00036487262314011115,-0.0008250720179840132,0.5407422162570474,0.898057010050425,0.14398686450420004
54,-0.0009749197739986615,-0.00039254068934979625,-0.0003367142871642803,0.5492649156938926,0.8980293419842154,0.1434985067733803
55,-0.0001397891994806555,-0.00017465466794863715,-5.8947078068638525e-05,0.5501000462684106,0.8982472280056165,0.14322073956428466
56,-0.0061683848366888006,-0.0004962959376362264,-0.0005619279916480313,0.5440714506312024,0.8979255867359289,0.14372372047786405
57,0.000849791369304187,-0.00017465466794852613,-1.657109256111844e-05,0.5510896268371954,0.8982472280056166,0.14317836357877714
58,-0.0018068207940183934,-0.0001781131762248478,-8.537024876589805e-05,0.5484330146738728,0.8982437694973403,0.14324716273498192
59,-0.002535169503491197,-0.00022999080036800734,-0.00021413493126834493,0.5477046659644,0.8981918918731971,0.14337592741748437
60,-0.0003655627338219336,-0.001004696654239079,-0.000527634845051389,0.5498742727340693,0.8974171860193261,0.1436894273312674
61,-0.009911455544485914,-0.00021269825898684314,-0.0008047306287603251,0.5403283799234053,0.8982091844145783,0.14396652311497635
62,-0.0059076485302245185,-0.0006726798597228578,-0.0007973326823818294,0.5443321869376667,0.8977492028138423,0.14395912516859785
