metric,estimate,ci_low,ci_high,permutation_p_one_sided,genes,bootstrap_resamples,permutations
equal_gene_mean_contrast,0.04707185121743813,0.021887733083732534,0.07498134004007993,9.99950002499875e-05,34,5000,20000
equal_gene_conditional_auc,0.7012605042016807,0.5710084033613445,0.8234593837535014,0.001399930003499825,34,5000,20000
pair_weighted_conditional_auc,0.7189189189189189,0.6145801957831326,0.8288842468805703,0.0007999600019999,34,5000,20000
