minimum_distance_bp,relation_count,positive_count,positive_prevalence,average_precision,roc_auc,mean_strength_difference,analysis_label
0,2307,133,0.0576506285218899,0.4785234301212341,0.725726459663418,0.08188518566713045,primary_all_relations
10000,2243,101,0.04502897904592064,0.41952704162170984,0.6820820737535939,0.08094685300750529,posthoc_distance_sensitivity
20000,2176,87,0.03998161764705882,0.3660175626572644,0.6403162707779667,0.06371754437867691,posthoc_distance_sensitivity
50000,2039,59,0.02893575282000981,0.22906394799568022,0.5450094161958569,0.03889025717715127,posthoc_distance_sensitivity
