subset,n_pairs,n_genes,gene_equal_mean,bootstrap_ci_low,bootstrap_ci_high,gene_equal_median,fraction_genes_positive,bootstrap_resamples,seed
all_wrong_gene_controls,161,121,0.3386691340025286,-0.07222411378763824,0.7569294654889008,0.0028286343155015,0.5289256198347108,20000,20260809
explicit_tested_negatives_only,6,6,1.5687197000993909,0.2879808259474141,3.3126839949634146,0.8564825834826846,1.0,20000,20260809
distance_within_2x,106,86,0.18885364329224813,-0.2974335224236643,0.6813707333111618,0.0023022669382322,0.5232558139534884,20000,20260809
reference_CAGE_within_4x,52,44,-0.02537057349575185,-0.6431789013434471,0.5944943735494015,0.0003333352981575976,0.5,20000,20260809
reference_CAGE_within_2x,22,18,-0.4012562758541796,-1.2341794577923975,0.37999661214127795,0.0009319316461491,0.5555555555555556,20000,20260809
near_request_geometry_50kb,76,60,0.10236447958862734,-0.4236076245549517,0.6440596509549549,0.0012468310506799,0.5166666666666667,20000,20260809
combined_distance_CAGE4_geometry50kb,18,16,0.07789701306343205,-0.8937870224794995,1.2242185420499345,0.00496264154156065,0.625,20000,20260809
identical_request_interval,1,1,0.4948375195060608,,,0.4948375195060608,1.0,20000,20260809
