subset,n_pairs,n_genes,gene_equal_mean,bootstrap_ci_low,bootstrap_ci_high,gene_equal_median,bootstrap_resamples,seed
all_frozen_pairs,161,121,0.44319721900406783,0.14318632407620022,0.7429199267001969,0.02353946045910765,20000,20260810
re2g_both_regions_overlap,14,11,0.4561775464386732,-0.8551822942777348,1.7931523058359857,0.03043178406492015,20000,20260810
re2g_strict_harmonized_pair,9,7,0.032870412577447335,-1.6371233696676346,1.3646309890901012,0.2806961508064987,20000,20260810
