removal_scheme,k_removed,n_genes_remaining,mean,median,fraction_positive
largest_absolute_gene_value,0,121,0.4431972190040678,0.02353946045910765,0.6859504132231405
largest_absolute_gene_value,1,120,0.3882537250027506,0.023327953788685074,0.6833333333333333
largest_absolute_gene_value,3,118,0.4018570005945128,0.023327953788685074,0.6864406779661016
largest_absolute_gene_value,5,116,0.3228246241845524,0.021277590560303747,0.6810344827586207
largest_absolute_gene_value,10,111,0.39665202282333495,0.0231164471182625,0.6936936936936937
largest_absolute_gene_value,15,106,0.2672400545102208,0.01530342625526195,0.6792452830188679
largest_absolute_gene_value,20,101,0.20276855461997165,0.0143084795340122,0.6732673267326733
largest_positive_gene_value,0,121,0.4431972190040678,0.02353946045910765,0.6859504132231405
largest_positive_gene_value,1,120,0.3882537250027506,0.023327953788685074,0.6833333333333333
largest_positive_gene_value,3,118,0.3074652841057983,0.021277590560303747,0.6779661016949152
largest_positive_gene_value,5,116,0.2358910550113005,0.0175858011104347,0.6724137931034483
largest_positive_gene_value,10,111,0.10010264576770017,0.0143084795340122,0.6576576576576577
largest_positive_gene_value,15,106,-0.019141570618265866,0.010312154745932323,0.6415094339622641
largest_positive_gene_value,20,101,-0.10476386009502046,0.0079904386870941,0.6237623762376238
